MAG,Genus,Tara_sample,layer,Latitude,Longitude,Region,Depth,Oxygen,Salinity,Temperature,Chlorophyll_a,Nitrite,Phosphate,Nitrate_nitrite,Silicate,RPKM
GCA.002723295_sp1,NS5_B,ERR599007,DCM,-5.2476,-85.3343,South Pacific Ocean,40,203.8394,34.67996,0.45883,0.3323,1.202,1.8615,24.3645,10.5045,0.664255668
GCA.002723295_sp1,NS5_B,ERR598962,DCM,-5.2476,-85.3343,South Pacific Ocean,40,220.189917,36.4072,18.732683,0.3323,1.202,1.8615,24.3645,10.5045,0.657863974
GCA.002723295_sp1,NS5_B,ERR3589583,DCM,54.525,-16.689,North Atlantic Ocean,40,266.369875,35.33502,10.79018,0.0641,0.071,0.566253,10.158,3.554362,0.634521664
GCA.002723295_sp1,NS5_B,ERR599173,Surface,-34.8986,18.03,South Atlantic Ocean,5,0.78015,34.608434,8.210557,0.4416,0.3025,0.343,3.34,2.7435,0.530014017
GCA.002723295_sp1,NS5_B,ERR599064,Surface,-33.8785,-73.0369,South Pacific Ocean,5,187.302833,35.427733,26.780158,0.2897,0.03975,0.52125,0.2115,0.1445,0.500119531
GCA.002723295_sp1,NS5_B,ERR598983,Surface,39.2173,-72.0327,North Atlantic Ocean,5,199.1195,36.42324,25.02619,0.64655,0.093,0.33275,3.7925,2.41425,0.457914657
GCA.002723295_sp1,NS5_B,ERR599068,Surface,-34.8986,18.03,South Atlantic Ocean,5,NA,NA,NA,0.4416,0.3025,0.343,3.34,2.7435,0.450568681
GCA.002723295_sp1,NS5_B,ERR599107,DCM,-34.8477,18.1136,South Atlantic Ocean,30,2.369225,36.021302,14.987618,0.45415,0.284,0.34975,3.309875,2.5895,0.447394087
GCA.002723295_sp1,NS5_B,ERR598973,Surface,-34.8986,18.03,South Atlantic Ocean,5,211.606583,36.549267,25.37395,0.4416,0.3025,0.343,3.34,2.7435,0.447281158
GCA.002723295_sp1,NS5_B,ERR598982,DCM,-34.8477,18.1136,South Atlantic Ocean,30,233.859,35.18335,14.11885,0.45415,0.284,0.34975,3.309875,2.5895,0.446727018
GCA.002723295_sp1,NS5_B,ERR3589588,Surface,72.6601,44.1569,Arctic,5,298.8549,34.92306,7.53177,0.66205,0,0,0.0595,1.725127,0.358615947
GCA.002723295_sp1,NS5_B,ERR3589554,Surface,78.3192,91.7203,Arctic,5,388.2395,32.9488,-1.645825,2.837,0.074,0.216027,0.513,0.465648,0.339261613
GCA.002723295_sp1,NS5_B,ERR598945,Surface,-60.3606,-60.5096,Southern Ocean,5,0.70843,34.840218,13.014573,NA,0.266,1.723,25.3,16.55,0.332757453
GCA.002723295_sp1,NS5_B,ERR3589576,Surface,64.7609,-53.1069,Labrador Sea,5,323.835062,32.602725,2.49543,NA,NA,NA,NA,NA,0.311970195
GCA.002723295_sp1,NS5_B,ERR599052,Surface,35.4068,-127.7432,North Pacific Ocean,5,185.243833,35.091133,30.496383,0.12275,0.002,0.2925,0.011,1.95475,0.309514061
GCA.002723295_sp1,NS5_B,ERR599059,Surface,-60.3606,-60.5096,Southern Ocean,5,179.968,40.196433,26.050367,NA,0.266,1.723,25.3,16.55,0.307074123
GCA.002723295_sp1,NS5_B,ERR3589579,DCM,78.3396,91.6416,Arctic,17,373.347333,33.455583,-1.640792,3.0924,0.124,0.307592,1.227,0.851791,0.304709831
GCA.002723295_sp1,NS5_B,ERR3589559,Surface,72.4769,-71.9329,Arctic,5,353.31105,31.995275,-0.48046,1.39205,0.0895,0.560568,0.411,0.298067,0.280269785
GCA.002723295_sp1,NS5_B,ERR599039,Surface,-1.972,-84.601,South Pacific Ocean,5,188.416583,39.74725,25.824383,0.0864,0.31925,0.77275,8.287,3.8635,0.279433697
GCA.002723295_sp1,NS5_B,ERR599020,Mesopelagic,-1.8191,-84.6284,South Pacific Ocean,380,193.011,34.57915,7.6502,NA,NA,NA,NA,NA,0.270929035
GCA.002723295_sp1,NS5_B,ERR3589575,Surface,69.1094,-51.6368,Arctic,5,303.353,32.991725,3.1961,0.397,0.1665,0.312072,1.916,0.819597,0.270764773
