run,layer,Latitude_End,Longitude_End,MAG,RPKM
ERR3589591,Surface,54.5745,-16.8264,MS024.2A_sp5,0.088393148
ERR3589592,Surface,67.1385,0.2443,MS024.2A_sp5,0.07982119
ERR598943,Surface,-5.254,-85.2248,MS024.2A_sp5,0.043271983
ERR598945,Surface,-60.3606,-60.5096,MS024.2A_sp5,0.081525477
ERR598951,Surface,39.3599,19.4084,MS024.2A_sp5,0.688392184
ERR598954,Surface,-23.24,-129.4851,MS024.2A_sp5,0.323749778
ERR598955,Surface,35.5571,-6.5586,MS024.2A_sp5,0.080259059
ERR598959,Surface,18.4017,39.855,MS024.2A_sp5,0.013540471
ERR598963,Surface,34.0491,-49.8315,MS024.2A_sp5,0.040313483
ERR598966,Surface,20.8151,63.5046,MS024.2A_sp5,0.023358008
ERR598967,Surface,-29.6749,-101.2137,MS024.2A_sp5,0.480906178
ERR598968,Surface,34.8341,-71.204,MS024.2A_sp5,0.021317024
ERR598969,Surface,34.835,34.8033,MS024.2A_sp5,0.702711955
ERR598970,Surface,-29.5023,37.9965,MS024.2A_sp5,0.022480556
ERR598973,Surface,-34.8986,18.03,MS024.2A_sp5,0.038490677
ERR598976,Surface,36.139,-28.9598,MS024.2A_sp5,0.059631576
ERR598978,Surface,-5.254,-85.2248,MS024.2A_sp5,0.043026607
ERR598979,Surface,-35.2087,26.2932,MS024.2A_sp5,0.016477279
ERR598983,Surface,39.2173,-72.0327,MS024.2A_sp5,0.023741507
ERR598984,Surface,-8.7788,-17.9098,MS024.2A_sp5,0.014258335
ERR598989,Surface,14.2017,-116.6336,MS024.2A_sp5,0.051384754
ERR598991,Surface,18.4017,39.855,MS024.2A_sp5,0.015064236
ERR598992,Surface,-8.9721,-139.2742,MS024.2A_sp5,0.027378476
ERR598993,Surface,35.7392,14.3321,MS024.2A_sp5,1.090278101
ERR598994,Surface,32.1,17.7,MS024.2A_sp5,0.055403769
ERR598997,Surface,2.0596,-84.553,MS024.2A_sp5,0.048473241
ERR599003,Surface,35.5571,-6.5586,MS024.2A_sp5,0.084149946
ERR599006,Surface,-30.1885,-43.2831,MS024.2A_sp5,0.014003997
ERR599009,Surface,-47.1906,-58.2682,MS024.2A_sp5,0.065713563
ERR599010,Surface,-21.0073,-35.3344,MS024.2A_sp5,0.022981961
ERR599011,Surface,14.5,70,MS024.2A_sp5,0.015102726
ERR599012,Surface,-22.3407,40.3444,MS024.2A_sp5,0.018678554
ERR599019,Surface,-9.4112,66.3281,MS024.2A_sp5,0.021089357
ERR599022,Surface,-30.1885,-43.2831,MS024.2A_sp5,0.012506169
ERR599024,Surface,-21.1556,-104.8217,MS024.2A_sp5,0.37054903
ERR599029,Surface,9.846,80.0607,MS024.2A_sp5,0.039403498
ERR599030,Surface,6.3315,-102.9484,MS024.2A_sp5,0.027594297
ERR599035,Surface,-47.1906,-58.2682,MS024.2A_sp5,0.064215962
ERR599036,Surface,-9.1552,-140.5284,MS024.2A_sp5,0.023548371
ERR599038,Surface,0.0095,-153.7143,MS024.2A_sp5,0.043665494
ERR599039,Surface,-1.972,-84.601,MS024.2A_sp5,0.06176291
ERR599041,Surface,23.4017,37.2183,MS024.2A_sp5,0.007870421
ERR599043,Surface,39.3599,19.4084,MS024.2A_sp5,0.696434686
ERR599045,Surface,0.0033,71.6428,MS024.2A_sp5,0.015541398
ERR599049,Surface,22.1283,38.1967,MS024.2A_sp5,0.016628013
ERR599050,Surface,-32.7806,-87.0917,MS024.2A_sp5,0.090668998
ERR599052,Surface,35.4068,-127.7432,MS024.2A_sp5,0.077037593
ERR599054,Surface,0.0033,71.6428,MS024.2A_sp5,0.015822014
ERR599057,Surface,-15.331,43.2908,MS024.2A_sp5,0.026408048
ERR599058,Surface,-17.0283,42.7449,MS024.2A_sp5,0.024767162
ERR599059,Surface,-60.3606,-60.5096,MS024.2A_sp5,0.082936999
ERR599064,Surface,-33.8785,-73.0369,MS024.2A_sp5,0.130236817
ERR599066,Surface,-8.895,-142.6228,MS024.2A_sp5,0.025069906
ERR599068,Surface,-34.8986,18.03,MS024.2A_sp5,0.039804394
ERR599069,Surface,-9.1552,-140.5284,MS024.2A_sp5,0.024691534
ERR599074,Surface,14.5,70,MS024.2A_sp5,0.014122538
ERR599075,Surface,6.0124,73.8985,MS024.2A_sp5,0.013706183
ERR599077,Surface,-16.9554,-100.6925,MS024.2A_sp5,0.04828288
ERR599078,Surface,43.6906,-16.8555,MS024.2A_sp5,0.075386673
ERR599080,Surface,-9.1552,-140.5284,MS024.2A_sp5,0.02352243
ERR599088,Surface,-29.5023,37.9965,MS024.2A_sp5,0.022060839
ERR599090,Surface,-62.1363,-49.3331,MS024.2A_sp5,0.077958626
ERR599091,Surface,-8.895,-142.6228,MS024.2A_sp5,0.002653213
ERR599093,Surface,-25.8126,-111.7386,MS024.2A_sp5,0.156006433
ERR599098,Surface,-17.2387,53.9775,MS024.2A_sp5,0.01500237
ERR599102,Surface,19.0342,64.5162,MS024.2A_sp5,0.027478213
ERR599105,Surface,-8.7788,-17.9098,MS024.2A_sp5,0.012629115
ERR599106,Surface,34.835,34.8033,MS024.2A_sp5,0.017526121
ERR599114,Surface,-8.895,-142.6228,MS024.2A_sp5,0.02480582
ERR599116,Surface,23.4017,37.2183,MS024.2A_sp5,0.008417892
ERR599118,Surface,2.0596,-84.553,MS024.2A_sp5,0.053044234
ERR599119,Surface,-8.895,-142.6228,MS024.2A_sp5,0.02563684
